2025-12-03 18:21:35,593 INFO Starting network monitor
2025-12-03 18:21:35,593 INFO Logging to logs/monitor.log
2025-12-03 18:21:35,593 INFO Database at data/monitor.db
2025-12-03 18:21:35,593 INFO Speedtests enabled every 1800 seconds
2025-12-03 18:21:35,624 INFO Starting network monitor loop
2025-12-03 18:21:35,661 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.1 ms
2025-12-03 18:21:35,722 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.4 ms
2025-12-03 18:22:01,293 INFO Speedtest (speedtest): down=873.78 Mbps up=864.06 Mbps ping=3.7 ms
2025-12-03 18:22:05,658 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.2 ms
2025-12-03 18:22:05,693 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=19.7 ms
2025-12-03 18:22:35,670 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.9 ms
2025-12-03 18:22:35,702 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.8 ms
2025-12-03 18:23:05,656 INFO internet-google (eth0) reachable: 8.8.8.8, latency=20.5 ms
2025-12-03 18:23:05,686 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=19.1 ms
2025-12-03 18:23:35,658 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.1 ms
2025-12-03 18:23:35,690 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=19.0 ms
2025-12-03 18:24:05,664 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.7 ms
2025-12-03 18:24:05,694 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.8 ms
2025-12-03 18:24:35,660 INFO internet-google (eth0) reachable: 8.8.8.8, latency=20.3 ms
2025-12-03 18:24:35,692 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.3 ms
2025-12-03 18:25:05,677 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.4 ms
2025-12-03 18:25:05,707 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=19.5 ms
2025-12-03 18:25:35,660 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.0 ms
2025-12-03 18:25:35,694 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=20.4 ms
2025-12-03 18:26:05,660 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.1 ms
2025-12-03 18:26:05,689 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.6 ms
2025-12-03 18:26:35,663 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.5 ms
2025-12-03 18:26:35,693 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.5 ms
2025-12-03 18:27:05,660 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.5 ms
2025-12-03 18:27:05,688 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.4 ms
2025-12-03 18:27:35,655 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.0 ms
2025-12-03 18:27:35,679 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.3 ms
2025-12-03 18:28:05,660 INFO internet-google (eth0) reachable: 8.8.8.8, latency=17.7 ms
2025-12-03 18:28:05,697 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=19.1 ms
2025-12-03 18:28:35,668 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.6 ms
2025-12-03 18:28:35,700 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.0 ms
2025-12-03 18:29:05,669 INFO internet-google (eth0) reachable: 8.8.8.8, latency=21.1 ms
2025-12-03 18:29:05,701 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.2 ms
2025-12-03 18:29:35,662 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.7 ms
2025-12-03 18:29:35,691 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.1 ms
2025-12-03 18:30:05,667 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.7 ms
2025-12-03 18:30:05,698 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.3 ms
2025-12-03 18:30:35,666 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.2 ms
2025-12-03 18:30:35,696 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.2 ms
2025-12-03 18:31:05,664 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.6 ms
2025-12-03 18:31:05,693 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.9 ms
2025-12-03 18:31:35,666 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.3 ms
2025-12-03 18:31:35,696 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.2 ms
2025-12-03 18:32:05,665 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.9 ms
2025-12-03 18:32:05,695 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.8 ms
2025-12-03 18:32:35,661 INFO internet-google (eth0) reachable: 8.8.8.8, latency=16.9 ms
2025-12-03 18:32:35,688 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.1 ms
2025-12-03 18:33:05,667 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.2 ms
2025-12-03 18:33:05,698 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=19.0 ms
2025-12-03 18:33:35,665 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.8 ms
