2025-12-05 05:38:55,720 INFO Starting network monitor
2025-12-05 05:38:55,721 INFO Logging to logs/monitor.log
2025-12-05 05:38:55,721 INFO Database at data/monitor.db
2025-12-05 05:38:55,721 INFO Speedtests enabled every 1800 seconds
2025-12-05 05:38:55,744 INFO Starting network monitor loop
2025-12-05 05:38:55,791 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.7 ms
2025-12-05 05:38:55,821 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.0 ms
2025-12-05 05:39:09,236 INFO Speedtest (speedtest): down=940.40 Mbps up=921.70 Mbps ping=4.0 ms
2025-12-05 05:39:25,777 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.9 ms
2025-12-05 05:39:25,808 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=19.5 ms
2025-12-05 05:39:55,777 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.0 ms
2025-12-05 05:39:55,809 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=19.5 ms
2025-12-05 05:40:25,775 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.7 ms
2025-12-05 05:40:25,807 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.3 ms
2025-12-05 05:40:55,776 INFO internet-google (eth0) reachable: 8.8.8.8, latency=20.4 ms
2025-12-05 05:40:55,805 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.1 ms
2025-12-05 05:41:25,780 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.3 ms
2025-12-05 05:41:25,808 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.6 ms
2025-12-05 05:41:55,780 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.2 ms
2025-12-05 05:41:55,815 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.3 ms
2025-12-05 05:42:25,779 INFO internet-google (eth0) reachable: 8.8.8.8, latency=20.3 ms
2025-12-05 05:42:25,809 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.9 ms
2025-12-05 05:42:55,779 INFO internet-google (eth0) reachable: 8.8.8.8, latency=17.7 ms
2025-12-05 05:42:55,816 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=25.2 ms
2025-12-05 05:43:25,779 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.1 ms
2025-12-05 05:43:25,808 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.4 ms
2025-12-05 05:43:55,776 INFO internet-google (eth0) reachable: 8.8.8.8, latency=17.7 ms
2025-12-05 05:43:55,804 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.7 ms
2025-12-05 05:44:25,781 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.5 ms
2025-12-05 05:44:25,813 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.0 ms
2025-12-05 05:44:55,780 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.3 ms
2025-12-05 05:44:55,809 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.5 ms
2025-12-05 05:45:25,783 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.8 ms
2025-12-05 05:45:25,815 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.9 ms
2025-12-05 05:45:55,783 INFO internet-google (eth0) reachable: 8.8.8.8, latency=17.8 ms
2025-12-05 05:45:55,814 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.9 ms
2025-12-05 05:46:25,783 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.0 ms
2025-12-05 05:46:25,812 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.2 ms
2025-12-05 05:46:55,780 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.7 ms
2025-12-05 05:46:55,810 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.7 ms
2025-12-05 05:47:25,785 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.3 ms
2025-12-05 05:47:25,813 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.5 ms
2025-12-05 05:47:55,781 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.2 ms
2025-12-05 05:47:55,807 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.1 ms
2025-12-05 05:48:25,783 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.1 ms
2025-12-05 05:48:25,809 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.7 ms
2025-12-05 05:48:55,782 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.4 ms
2025-12-05 05:48:55,818 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=23.0 ms
2025-12-05 05:49:25,804 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.6 ms
2025-12-05 05:49:25,832 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=19.9 ms
2025-12-05 05:49:55,781 INFO internet-google (eth0) reachable: 8.8.8.8, latency=17.6 ms
2025-12-05 05:49:55,811 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.4 ms
2025-12-05 05:50:25,786 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.3 ms
2025-12-05 05:50:25,819 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.8 ms
2025-12-05 05:50:55,782 INFO internet-google (eth0) reachable: 8.8.8.8, latency=17.6 ms
2025-12-05 05:50:55,809 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.1 ms
2025-12-05 05:51:25,784 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.0 ms
2025-12-05 05:51:25,810 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.8 ms
2025-12-05 05:51:55,784 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.7 ms
2025-12-05 05:51:55,812 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.0 ms
2025-12-05 05:52:25,783 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.2 ms
2025-12-05 05:52:25,810 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.8 ms
2025-12-05 05:52:55,786 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.7 ms
2025-12-05 05:52:55,816 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.8 ms
2025-12-05 05:53:25,787 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.6 ms
2025-12-05 05:53:25,815 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.3 ms
2025-12-05 05:53:55,786 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.9 ms
2025-12-05 05:53:55,817 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.7 ms
2025-12-05 05:54:25,808 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.3 ms
2025-12-05 05:54:25,838 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=19.0 ms
2025-12-05 05:54:55,812 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.5 ms
2025-12-05 05:54:55,845 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=22.4 ms
2025-12-05 05:55:25,787 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.0 ms
2025-12-05 05:55:25,816 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=19.6 ms
2025-12-05 05:55:55,784 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.2 ms
2025-12-05 05:55:55,812 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.3 ms
2025-12-05 05:56:25,792 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.7 ms
2025-12-05 05:56:25,825 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.3 ms
2025-12-05 05:56:55,799 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.2 ms
2025-12-05 05:56:55,826 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.3 ms
2025-12-05 05:57:25,803 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.8 ms
